Ticket;Symbol;Type;Open time;Open price;Size;Close time;Close price;Profit/Loss;Balance;Sample type;Close type;MAE ($);MFE ($);Time in trade;Comment
1343;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.10.12 11:00:00;120.030;0.38;2011.10.12 15:00:00;121.037;262.61;11137.37;IST;PT;-48.19;265.18;4h 0m;
1367;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.10.31 04:00:00;122.950;0.38;2011.10.31 04:00:00;123.956;262.35;11399.72;IST;PT;0.00;1087.86;0s;
1410;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.11.25 15:00:00;120.281;0.46;2011.11.25 19:00:00;119.971;-101.94;11297.78;IST;SL;-98.82;56.11;4h 0m;
1412;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.11.28 12:00:00;121.033;0.45;2011.11.28 23:00:00;120.852;-59.49;11238.29;IST;Exit After X Bars;-86.07;199.58;11h 0m;
1426;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.12.07 16:00:00;122.114;0.44;2011.12.07 18:00:00;121.790;-101.77;11136.52;IST;SL;-98.79;31.10;2h 0m;
1428;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.12.09 13:00:00;122.158;0.45;2011.12.09 14:00:00;121.843;-101.28;11035.24;IST;SL;-98.23;20.27;1h 0m;
1440;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2011.12.20 11:00:00;121.744;0.5;2011.12.20 22:00:00;121.963;72.50;11107.74;IST;Exit After X Bars;-21.48;143.80;11h 0m;
1483;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.01.19 13:00:00;118.668;0.6;2012.01.19 17:00:00;119.313;264.13;11371.87;IST;PT;-28.69;268.19;4h 0m;
1492;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.01.24 14:00:00;120.920;0.56;2012.01.25 01:00:00;121.291;145.44;11517.31;IST;Exit After X Bars;-27.94;190.94;11h 0m;
1504;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.01 18:00:00;120.857;0.52;2012.02.01 22:00:00;120.580;-103.34;11413.97;IST;SL;-99.82;45.77;4h 0m;
1506;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.03 11:00:00;120.837;0.52;2012.02.03 15:00:00;120.564;-101.90;11312.07;IST;SL;-98.38;25.95;4h 0m;
1512;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.07 17:00:00;121.851;0.53;2012.02.08 04:00:00;122.241;144.63;11456.70;IST;Exit After X Bars;0.00;192.83;11h 0m;
1519;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.14 09:00:00;122.703;0.52;2012.02.14 20:00:00;122.918;73.96;11530.66;IST;Exit After X Bars;-83.24;136.22;11h 0m;
1521;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.16 15:00:00;123.747;0.48;2012.02.16 19:00:00;124.518;253.22;11783.88;IST;PT;-43.24;256.47;4h 0m;
1522;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.20 00:00:00;126.402;0.47;2012.02.20 04:00:00;126.100;-101.55;11682.33;IST;SL;-98.36;138.43;4h 0m;
1527;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.22 11:00:00;126.616;0.45;2012.02.22 11:00:00;126.302;-100.97;11581.36;IST;SL;-97.92;0.00;0s;
1531;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.24 08:00:00;126.661;0.46;2012.02.24 15:00:00;127.478;257.33;11838.69;IST;PT;-14.66;260.44;7h 0m;
1532;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.24 17:00:00;128.196;0.45;2012.02.24 17:00:00;127.879;-101.90;11736.79;IST;SL;-98.86;8.42;0s;
1534;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.27 00:00:00;129.581;0.44;2012.02.27 02:00:00;129.256;-102.08;11634.71;IST;SL;-99.10;55.50;2h 0m;
1537;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.02.29 18:00:00;129.496;0.37;2012.02.29 19:00:00;129.108;-101.99;11532.72;IST;SL;-99.49;31.03;1h 0m;
1547;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.03.08 14:00:00;129.127;0.35;2012.03.08 15:00:00;128.722;-100.60;11432.12;IST;SL;-98.23;15.77;1h 0m;
1554;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.03.13 17:00:00;129.779;0.35;2012.03.14 04:00:00;130.533;183.80;11615.92;IST;Exit After X Bars;-0.49;199.38;11h 0m;
1558;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.03.16 15:00:00;132.108;0.35;2012.03.19 02:00:00;132.304;48.46;11664.37;IST;Exit After X Bars;-71.55;79.56;2d 11h 0m;
1569;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.03.27 02:00:00;132.428;0.35;2012.03.27 13:00:00;132.142;-71.74;11592.63;IST;Exit After X Bars;-89.74;23.53;11h 0m;
1574;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.03.30 01:00:00;131.617;0.34;2012.03.30 02:00:00;131.199;-100.79;11491.84;IST;SL;-98.49;4.48;1h 0m;
1576;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.04.02 00:00:00;133.020;0.33;2012.04.02 02:00:00;132.592;-100.11;11391.73;IST;SL;-97.88;16.47;2h 0m;
1602;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.04.17 12:00:00;128.835;0.37;2012.04.17 15:00:00;128.447;-101.99;11289.74;IST;SL;-99.49;20.51;3h 0m;
1623;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.05.01 17:00:00;130.049;0.41;2012.05.02 04:00:00;130.140;26.93;11316.67;IST;Exit After X Bars;-67.05;60.80;11h 0m;
1675;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.06.07 15:00:00;124.091;0.37;2012.06.07 17:00:00;123.704;-101.74;11214.93;IST;SL;-99.23;63.85;2h 0m;
1677;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.06.12 14:00:00;123.758;0.34;2012.06.12 17:00:00;123.345;-99.61;11115.32;IST;SL;-97.31;13.19;3h 0m;
1683;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.06.15 23:00:00;123.764;0.38;2012.06.18 10:00:00;124.291;139.78;11255.10;IST;Exit After X Bars;-17.12;229.63;2d 11h 0m;
1686;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.06.20 17:00:00;125.103;0.39;2012.06.20 19:00:00;124.738;-101.29;11153.81;IST;SL;-98.65;55.95;2h 0m;
1702;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.06.29 09:00:00;124.069;0.42;2012.06.29 12:00:00;123.727;-102.39;11051.42;IST;SL;-99.54;265.74;3h 0m;
1703;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.06.29 17:00:00;125.084;0.39;2012.07.02 04:00:00;124.855;-60.87;10990.55;IST;Exit After X Bars;-76.22;107.57;2d 11h 0m;
1724;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.07.20 01:00:00;123.713;0.5;2012.07.20 05:00:00;123.426;-102.83;10887.72;IST;SL;-99.45;28.07;4h 0m;
1734;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.07.26 14:00:00;122.378;0.5;2012.07.27 01:00:00;122.680;105.95;10993.67;IST;Exit After X Bars;-57.52;212.75;11h 0m;
1743;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.08.07 15:00:00;123.079;0.49;2012.08.07 23:00:00;122.786;-102.81;10890.86;IST;SL;-99.49;59.76;8h 0m;
1762;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.08.21 11:00:00;125.306;0.55;2012.08.21 21:00:00;125.045;-103.20;10787.66;IST;SL;-99.48;76.99;10h 0m;
1782;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.09.06 14:00:00;125.027;0.65;2012.09.06 17:00:00;125.623;264.07;11051.73;IST;PT;-91.89;268.47;3h 0m;
1786;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.09.12 11:00:00;125.568;0.64;2012.09.12 13:00:00;125.344;-103.68;10948.04;IST;SL;-99.35;23.51;2h 0m;
1791;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.09.14 17:00:00;127.045;0.61;2012.09.17 04:00:00;127.004;-15.73;10932.31;IST;Exit After X Bars;-63.83;108.22;2d 11h 0m;
1796;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.09.19 06:00:00;128.295;0.55;2012.09.19 12:00:00;128.035;-102.82;10829.49;IST;SL;-99.10;204.68;6h 0m;
1832;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.10.11 13:00:00;125.483;0.56;2012.10.12 00:00:00;125.671;74.43;10903.91;IST;Exit After X Bars;0.00;249.54;11h 0m;
1843;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.10.18 12:00:00;128.164;0.54;2012.10.18 14:00:00;127.898;-103.20;10800.72;IST;SL;-99.54;2.99;2h 0m;
1848;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.10.22 11:00:00;127.855;0.52;2012.10.22 22:00:00;127.872;2.61;10803.32;IST;Exit After X Bars;-49.73;117.84;11h 0m;
1852;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.10.25 15:00:00;129.438;0.52;2012.10.25 18:00:00;129.162;-102.98;10700.34;IST;SL;-99.46;74.95;3h 0m;
1868;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.06 19:00:00;128.512;0.53;2012.11.07 02:00:00;128.242;-97.78;10602.56;IST;SL;-99.17;77.50;7h 0m;
1875;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.13 13:00:00;126.505;0.5;2012.11.13 15:00:00;126.221;-101.79;10500.77;IST;SL;-98.41;43.66;2h 0m;
1877;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.14 11:00:00;127.092;0.5;2012.11.14 12:00:00;126.808;-101.79;10398.98;IST;SL;-98.41;10.74;1h 0m;
1878;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.15 06:00:00;127.997;0.49;2012.11.15 12:00:00;128.768;258.49;10657.47;IST;PT;-19.70;261.81;6h 0m;
1883;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.20 13:00:00;129.659;0.47;2012.11.21 00:00:00;130.066;133.80;10791.27;IST;Exit After X Bars;0.00;171.65;11h 0m;
1884;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.21 10:00:00;130.641;0.47;2012.11.21 15:00:00;131.437;256.08;11047.35;IST;PT;-7.49;259.27;5h 0m;
1888;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.11.23 19:00:00;132.154;0.45;2012.11.26 04:00:00;131.834;-98.61;10948.74;IST;SL;-99.79;89.19;2d 9h 0m;
1911;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.12 10:00:00;133.645;0.52;2012.12.12 19:00:00;134.390;264.95;11213.68;IST;PT;-75.68;268.47;9h 0m;
1914;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.17 00:00:00;136.382;0.48;2012.12.17 11:00:00;135.779;-203.83;11009.85;IST;Exit After X Bars;-276.09;0.00;11h 0m;
1915;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.18 18:00:00;136.700;0.45;2012.12.19 05:00:00;137.000;94.73;11104.59;IST;Exit After X Bars;-54.57;156.55;11h 0m;
1916;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.19 12:00:00;137.642;0.46;2012.12.19 17:00:00;137.333;-101.62;11002.97;IST;SL;-98.50;68.22;5h 0m;
1924;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.26 02:00:00;137.439;0.44;2012.12.26 13:00:00;137.745;90.33;11093.30;IST;Exit After X Bars;-51.23;129.29;11h 0m;
1925;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.27 06:00:00;138.562;0.44;2012.12.27 09:00:00;138.235;-102.69;10990.61;IST;SL;-99.71;5.18;3h 0m;
1929;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2012.12.31 16:00:00;140.228;0.4;2013.01.02 01:00:00;141.078;240.42;11231.03;IST;Exit After X Bars;-21.62;245.88;1d 9h 0m;
1942;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.01.10 17:00:00;142.064;0.33;2013.01.10 23:00:00;143.178;252.53;11483.56;IST;PT;-33.39;254.76;6h 0m;
1949;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.01.17 11:00:00;142.775;0.27;2013.01.17 21:00:00;144.096;245.34;11728.90;IST;PT;-48.46;247.17;10h 0m;
1960;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.01.24 11:00:00;141.801;0.26;2013.01.24 22:00:00;142.050;43.10;11772.01;IST;Exit After X Bars;-77.30;81.08;11h 0m;
1970;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.01.31 23:00:00;145.438;0.28;2013.02.01 10:00:00;146.155;139.86;11911.87;IST;Exit After X Bars;-53.56;202.19;11h 0m;
1974;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.02.05 11:00:00;146.395;0.28;2013.02.05 19:00:00;145.891;-99.69;11812.18;IST;SL;-97.80;166.10;8h 0m;
1979;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.02.07 12:00:00;147.308;0.27;2013.02.07 15:00:00;146.783;-100.06;11712.12;IST;SL;-98.23;123.49;3h 0m;
1996;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.02.15 15:00:00;144.678;0.24;2013.02.18 02:00:00;145.107;71.98;11784.10;IST;Exit After X Bars;-13.47;165.65;2d 11h 0m;
2026;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.03.07 14:00:00;142.165;0.3;2013.03.08 01:00:00;142.496;69.60;11853.70;IST;Exit After X Bars;-46.36;173.39;11h 0m;
2033;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.03.14 16:00:00;144.396;0.31;2013.03.15 03:00:00;144.773;81.80;11935.50;IST;Exit After X Bars;-23.42;133.84;11h 0m;
2036;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.03.20 16:00:00;144.854;0.28;2013.03.20 19:00:00;144.355;-98.72;11836.78;IST;SL;-96.83;26.20;3h 0m;
2057;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.04.04 07:00:00;141.613;0.35;2013.04.04 08:00:00;142.731;268.80;12105.58;IST;PT;0.00;271.17;1h 0m;
2058;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.04.05 05:00:00;147.836;0.31;2013.04.05 07:00:00;147.375;-101.14;12004.45;IST;SL;-99.04;9.88;2h 0m;
2076;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.04.19 10:00:00;151.742;0.21;2013.04.19 19:00:00;151.076;-98.34;11906.10;IST;SL;-96.92;112.49;9h 0m;
2085;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.04.25 11:00:00;153.211;0.24;2013.04.25 22:00:00;153.397;29.31;11935.41;IST;Exit After X Bars;-68.02;92.47;11h 0m;
2097;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.05.02 15:00:00;152.686;0.27;2013.05.02 16:00:00;152.170;-98.38;11837.04;IST;SL;-96.55;103.10;1h 0m;
2107;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.05.09 20:00:00;154.660;0.33;2013.05.10 03:00:00;155.862;275.75;12112.79;IST;PT;0.00;274.89;7h 0m;
2145;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.06.04 09:00:00;153.421;0.27;2013.06.04 13:00:00;152.890;-101.18;12011.60;IST;SL;-99.36;71.48;4h 0m;
2167;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.06.20 11:00:00;151.610;0.21;2013.06.20 15:00:00;150.931;-100.24;11911.37;IST;SL;-98.81;36.24;4h 0m;
2173;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.06.27 10:00:00;150.579;0.22;2013.06.27 11:00:00;149.929;-100.59;11810.78;IST;SL;-99.10;3.66;1h 0m;
2174;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.06.28 05:00:00;151.074;0.23;2013.06.28 16:00:00;151.023;-9.69;11801.09;IST;Exit After X Bars;-75.87;14.50;11h 0m;
2186;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.07.09 09:00:00;151.536;0.3;2013.07.09 11:00:00;151.068;-99.33;11701.76;IST;SL;-97.30;14.76;2h 0m;
2200;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.07.17 11:00:00;151.744;0.3;2013.07.17 12:00:00;151.266;-101.41;11600.36;IST;SL;-99.38;60.50;1h 0m;
2218;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.08.01 11:00:00;149.679;0.34;2013.08.01 22:00:00;150.447;178.65;11779.01;IST;Exit After X Bars;0.00;236.80;11h 0m;
2225;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.08.07 13:00:00;149.807;0.33;2013.08.07 21:00:00;149.373;-101.49;11677.52;IST;SL;-99.25;203.76;8h 0m;
2231;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.08.13 08:00:00;150.664;0.3;2013.08.13 17:00:00;151.890;252.85;11930.38;IST;PT;-14.76;254.89;9h 0m;
2239;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.08.19 17:00:00;153.555;0.32;2013.08.19 20:00:00;153.112;-100.41;11829.97;IST;SL;-98.24;3.99;3h 0m;
2252;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.08.29 09:00:00;152.079;0.34;2013.08.29 20:00:00;152.414;76.63;11906.60;IST;Exit After X Bars;-3.06;136.66;11h 0m;
2254;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.09.02 00:00:00;152.909;0.35;2013.09.02 01:00:00;152.424;-120.01;11786.60;IST;SL;-117.64;0.00;1h 0m;
2269;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.09.09 02:00:00;156.248;0.35;2013.09.09 03:00:00;155.847;-99.63;11686.96;IST;SL;-97.26;63.06;1h 0m;
2270;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.09.10 16:00:00;157.595;0.34;2013.09.11 03:00:00;157.771;42.36;11729.33;IST;Exit After X Bars;-7.78;105.56;11h 0m;
2305;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.09.30 17:00:00;158.647;0.37;2013.10.01 04:00:00;159.196;141.74;11871.06;IST;Exit After X Bars;0.00;198.20;11h 0m;
2313;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.10.08 15:00:00;156.519;0.37;2013.10.08 17:00:00;156.136;-100.71;11770.35;IST;SL;-98.21;36.92;2h 0m;
2317;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.10.11 06:00:00;157.491;0.39;2013.10.11 11:00:00;157.122;-102.37;11667.98;IST;SL;-99.73;7.03;5h 0m;
2327;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.10.18 01:00:00;158.435;0.42;2013.10.18 12:00:00;158.404;-11.87;11656.12;IST;Exit After X Bars;-82.66;68.69;11h 0m;
2328;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.10.22 16:00:00;159.215;0.44;2013.10.23 03:00:00;159.284;22.19;11678.31;IST;Exit After X Bars;-53.67;94.83;11h 0m;
2346;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.11.05 11:00:00;157.584;0.47;2013.11.05 22:00:00;158.200;197.46;11875.76;IST;Exit After X Bars;-1.30;217.25;11h 0m;
2368;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.11.19 19:00:00;161.479;0.44;2013.11.20 04:00:00;161.155;-97.64;11778.12;IST;SL;-98.79;72.27;9h 0m;
2370;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.11.21 08:00:00;161.846;0.43;2013.11.21 14:00:00;162.723;258.43;12036.55;IST;PT;0.00;261.34;6h 0m;
2372;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.11.22 01:00:00;164.072;0.42;2013.11.22 03:00:00;163.733;-101.51;11935.04;IST;SL;-98.67;0.00;2h 0m;
2373;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.11.25 02:00:00;164.586;0.42;2013.11.25 13:00:00;164.661;18.99;11954.02;IST;Exit After X Bars;-16.88;202.00;11h 0m;
2375;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.11.27 05:00:00;164.596;0.42;2013.11.27 11:00:00;165.486;256.20;12210.22;IST;PT;-22.70;259.04;6h 0m;
2379;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.02 02:00:00;168.377;0.41;2013.12.02 03:00:00;168.033;-100.52;12109.71;IST;SL;-97.74;42.05;1h 0m;
2386;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.06 15:00:00;167.596;0.36;2013.12.09 00:00:00;168.622;256.91;12366.62;IST;PT;0.00;255.97;2d 9h 0m;
2391;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.12 10:00:00;168.646;0.37;2013.12.12 17:00:00;168.260;-101.48;12265.14;IST;SL;-98.97;71.03;7h 0m;
2398;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.18 17:00:00;168.987;0.37;2013.12.18 20:00:00;168.603;-100.97;12164.17;IST;SL;-98.46;97.18;3h 0m;
2399;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.18 21:00:00;170.107;0.37;2013.12.18 23:00:00;171.131;260.06;12424.23;IST;PT;-30.51;262.56;2h 0m;
2407;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.26 02:00:00;171.503;0.42;2013.12.26 13:00:00;171.659;42.56;12466.79;IST;Exit After X Bars;-24.74;97.21;11h 0m;
2413;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2013.12.31 17:00:00;173.970;0.42;2014.01.02 04:00:00;174.644;209.11;12675.90;IST;Exit After X Bars;-22.12;251.48;1d 11h 0m;
2435;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.01.17 11:00:00;171.132;0.34;2014.01.17 22:00:00;171.267;29.51;12705.41;IST;Exit After X Bars;-10.84;174.59;11h 0m;
2494;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.03.04 10:00:00;170.223;0.32;2014.03.04 11:00:00;169.781;-100.18;12605.22;IST;SL;-98.02;9.09;1h 0m;
2497;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.03.06 19:00:00;172.584;0.36;2014.03.07 03:00:00;172.191;-97.10;12508.12;IST;SL;-98.05;61.87;8h 0m;
2524;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.03.27 12:00:00;169.949;0.4;2014.03.27 18:00:00;169.592;-101.67;12406.45;IST;SL;-98.96;104.23;6h 0m;
2526;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.03.31 12:00:00;171.661;0.4;2014.03.31 23:00:00;172.076;112.33;12518.78;IST;Exit After X Bars;-24.12;126.13;11h 0m;
2536;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.04.08 11:00:00;171.562;0.46;2014.04.08 14:00:00;171.251;-102.25;12416.53;IST;SL;-99.14;0.00;3h 0m;
2547;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.04.16 10:00:00;171.226;0.41;2014.04.16 21:00:00;171.775;153.21;12569.74;IST;Exit After X Bars;0.00;248.33;11h 0m;
2554;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.04.22 13:00:00;172.603;0.52;2014.04.23 00:00:00;172.624;8.93;12578.67;IST;Exit After X Bars;-83.24;51.17;11h 0m;
2561;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.04.28 10:00:00;172.068;0.53;2014.04.28 21:00:00;172.010;-24.89;12553.78;IST;Exit After X Bars;-36.73;185.48;11h 0m;
2598;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.05.21 17:00:00;171.434;0.53;2014.05.21 18:00:00;171.165;-102.39;12451.39;IST;SL;-98.80;19.10;1h 0m;
2615;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.06.02 15:00:00;171.146;0.57;2014.06.03 02:00:00;171.483;134.61;12586.00;IST;Exit After X Bars;-47.01;186.84;11h 0m;
2632;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.06.13 03:00:00;172.533;0.61;2014.06.13 09:00:00;173.157;259.65;12845.65;IST;PT;-59.60;263.78;6h 0m;
2654;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.06.30 18:00:00;173.314;0.65;2014.07.01 05:00:00;173.637;147.20;12992.85;IST;Exit After X Bars;-56.76;148.20;11h 0m;
2656;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.07.03 11:00:00;174.935;0.67;2014.07.03 11:00:00;174.722;-103.43;12889.42;IST;SL;-98.90;0.00;0s;
2668;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.07.15 11:00:00;174.085;0.69;2014.07.15 22:00:00;174.375;134.00;13023.42;IST;Exit After X Bars;-70.77;221.87;11h 0m;
2691;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.07.30 17:00:00;173.761;0.76;2014.07.31 04:00:00;173.923;101.59;13125.00;IST;Exit After X Bars;-24.75;233.85;11h 0m;
2696;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.08.05 17:00:00;173.457;0.7;2014.08.05 20:00:00;173.251;-104.67;13020.33;IST;SL;-99.93;22.31;3h 0m;
2709;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.08.12 19:00:00;171.935;0.63;2014.08.13 06:00:00;171.888;-18.87;13001.46;IST;Exit After X Bars;-66.80;12.22;11h 0m;
2725;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.08.22 17:00:00;172.386;0.65;2014.08.22 23:00:00;172.164;-104.40;12897.06;IST;SL;-100.00;106.76;6h 0m;
2732;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.08.27 17:00:00;172.552;0.67;2014.08.27 18:00:00;172.338;-103.90;12793.16;IST;SL;-99.36;0.00;1h 0m;
2739;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.09.02 06:00:00;173.837;0.66;2014.09.02 10:00:00;173.621;-103.26;12689.90;IST;SL;-98.79;52.14;4h 0m;
2750;GBPJPY_Data_Dukascopy_M1_ESTPlus07;Buy;2014.09.10 10:00:00;172.033;0.49;2014.09.10 11:00:00;171.743;-101.79;12588.11;IST;SL;-98.48;10.87;1h 0m;
